,ent1,ent2,relation
0,diseases  that,heart vessels,class
1,CVD,coronary artery diseases,includes coronary
2,Other  CVDs,stroke,include
3,underlying  mechanisms,,vary
4,Coronary artery disease,peripheral artery atherosclerosis,involve
5,This,,caused
6,CVD deaths tobacco accounts,5  %,estimated
7,Rheumatic heart disease,untreated strep throat,follow untreated
8,90  %,,estimated
9,Prevention,tobacco smoke alcohol intake,involves
10,Treating,risk factors,beneficial
11,strep  throat,antibiotics  risk,decrease
12,people  who,,benefit
13,Cardiovascular  diseases,,cause
14,Together  CVD,,resulted
15,world  rates,,common
16,,Coronary artery account,disease
17,cardiovascular  disease,older  adults,affects older
18,37  %,80  CVD,have
19,around artery it,,80
20,Diagnosis,cardiovascular blood vessels,occurs
21,They,,known
22,cardiovascular artery stenosis that,heart,diseases
23,Cardiomyopathy – diseases,Cardiac dysrhythmias – abnormalities,involvement Cardiac
24,structures,,valves
25,Inflammatory Myocarditis – inflammation,,caused
26,It,,characterized
27,,,inflammation
28,disorder,,differs
29,disease Congenital heart structure malformations,A streptococcal group A infection,damage
30,Risk factors,celiac blood disease,are many
31,overall risk contribution,,consistent
32,cardiovascular risk factors,,immutable
33,People,,risk
34,years  who,development,influence
35,Cardiovascular  disease,parents  risk,increases
36,individual association influence,,found
37,Age Age,cardiovascular risk diseases,factor
38,Coronary fatty streaks,,begin
39,people  who,,estimated
40,why  age,risk,proposed
41,One,,relates
42,serum total cholesterol level,,increases
43,,,levels
44,women  increase,,continues
45,wall  which,,associated
46,Sex Men,,risk
47,risk,WHO UN this,argued
48,she,more heart disease,likely
49,Coronary heart diseases,,common
50,Health Organization World Health sex,,contributes
51,diseases  One,half  risk,reports similar
52,women  estrogen,,hormone
53,Estrogen,direct glucose effect,have protective
54,menopause estrogen this,form HDL cholesterol level,production
55,,body weight heart volume,are
56,,,pronounced
57,arterial body which,,caused
58,Tobacco Cigarettes,,form
59,Risks,direct tobacco consumption,result
60,who,smoking,attributed
61,physical inactivity activity,,factor
62,31.3  %,aged  15,active
63,adults diabetes who,,reduced
64,,,assists
65,effects,cardiovascular  benefits,explain
66,causes,,linked
67,World Health Organization,,attributes
68,foods  that,cardiovascular  risk,promotes
69,amount,,determinant
70,moderate quality reducing,years  risk,is moderate
71,inflammatory blood elimination,adverse  effects,has adverse
72,trans  fats,,estimated
73,unfavorable sugar intake,also  risk,is
74,High  consumption,,associated
75,Alcohol  relationship,,complex
76,,,is
77,disease  associations,,associated
78,population level health risks,potential drinking benefits,exceed
79,diseases  most,development,cause
80,However  delays,irreversible heart damage,cause irreversible
81,Sleep,cardiovascular  risk,getting good
82,Infants,hours  seven,suggest
83,enough  many,good quality sleep,get less
84,short  sleepers,10 hours percent,shown
85,Sleep disorders,,associated
86,70 million 70 Americans,,suffer
87,addition sleep research,differences,displays
88,Short  sleep,,tend
89,,short  durations,report
90,children disadvantage Cardiovascular disease,low-  countries,affects low-
91,low  income,,is
92,that,disease  cause,associated
93,Psychosocial  factors,,contribute
94,equal Social distributions,environmental health inequalities,recommended
95,pollution Particulate matter,,studied
96,which  gradients,CVD risk,focus
97,long-term PM exposure,rate,increased
98,25  μg/m3,,resulted
99,2.7 blood pressure,,occurred
100,Other  research,reduced heart rate variability,implicated
101,PM2.5,also artery thickening,linked
102,cardiovascular risk assessment disease,,predictor
103,people blood who,cardiovascular  disease,predictors
104,measures,future risk risk,combined
105,respective  merits,,exist
106,diagnostic  tests,routine lack use,remain
107,They,particle A-I,include
108,High blood phosphorus,,linked
109,mental health problems,,is
110,sedentary risk factors,increased  risk,explain
111,posttraumatic stress disorder,,associated
112,cardiovascular  links,,known
113,long working who,long working those,found
114,job who,shift-work,develops
115,however  men,suffering,small
116,workplace  exposure,dust,found
117,Associations,,exist
118,sulphate,process, 
119,longer,phenoxy acids phenoxy TCDD(dioxin,found
120,Workplace exposure,dust,associated
121,where carbon aluminum,carbon TCDD,is
122,leukemia-associated  mutations,,suggests
123,large-scale research projects,robust  link,found
124,therapy Radiation treatments,cancer  risk,increase
125,Therapeutic  radiation,risk,increases
126,increase,,dose-dependent
127,Side-effects,,termed radiation-induced
128,Symptoms,cardiomyopathy,dose-dependent
129,Radiation-induced  fibrosis,,lead
130,atherosclerosis,,show
131,intimal  lesions,,demonstrated
132,3  people,,important
133,disease,greatest  threat,order
134,Obesity mellitus,,linked
135,cardiovascular  disease,,life-threatening
136,symptoms  who,,recommended
137,who,those,includes
138,,risk  evidence,inconclusive
139,risk  who,symptoms,echocardiography
140,however risk value,risk factors risk risk,add
141,symptoms 2018.The NIH,lipid testing,recommends
142,early  testing,lifestyle factors,hoped
143,Screening,risk prevention variety,done
144,,,scores
145,who,lifestyle interventions,separated
146,use risk efficacy,,multiplied
147,Risk stratification models,often  sensitivity,lack
148,preventative  screening,prevention,appears
149,established risk factors,,preventable
150,moderate quality that,diet  it,is moderate
151,,smoking,Stopping
152,Stopping,risk,reduces
153,,healthy  diet,Maintain
154,term risk effects,cardiovascular risk factors,effective
155,,,minutes
156,who,lower 25–30 risk,have
157,disease  alcohol,lower  rates,have lower
158,Excessive alcohol intake,risk,increases
159,,,pressure
160,10 mmHg reduction,blood pressure blood risk,reduces
161,Lowering blood pressure,,appears
162,,non-HDL cholesterol,Decrease
163,Statin  treatment,cardiovascular  mortality,reduces cardiovascular
164,,,fat
165,change weight evidence,weight  diets,difficult
166,,,associated
167,,psychosocial  stress,Decrease
168,definitions  what,psychosocial  interventions,complicated
169,myocardial  ischemia,,associated
170,emotional  stress,,leads
171,Stress,minor  role,plays
172,Specific relaxation therapies,,benefit
173,However  effects,,been
174,yoga tai chi,positive  effects,shown
175,trial  results,promising  risks,therapy
176,enough  sleep,also  risk,raises
177,Adults,9  hours,need
178,body  which,risk,risk
179,Most  guidelines,preventive  strategies,recommend
180,authors,firm  conclusions,is
181,physical  activity,significantly  behavior,adults
182,simply  providing,cardiovascular disease risk factors,is additional
183,scores,effect,was
184,dental  care,periodontitis  risk,unclear
185,diet Diet high,fruits  risk,decreases
186,Mediterranean  diet,cardiovascular  outcomes,suggests
187,Mediterranean  diet,,is
188,long-term density lipoprotein benefits,metabolic density lipoprotein syndrome,shown
189,high fiber diet,,associated
190,long-standing  replacing,saturated  fat,recommend
191,fat  intake,,found
192,moderate quality reducing,years  reduction,found moderate
193,2015  meta-analysis,however convincing association,find
194,what,fat  differences,explain
195,fats  replacement,beneficial  effect,appears greatest
196,hydrogenated  which,,associated
197,,cardiovascular omega-3 risk,is
198,benefits,low-salt  diet,clear
199,rest,trials  trend,show
200,worsens blood it,number,concluded
201,cardiovascular  evidence,ventricular  hypertrophy,found
202,intermittent  fasting,cardiovascular  disease,uncertain
203,people,more  weight,help
204,Blood pressure medication,age baseline level,reduces cardiovascular
205,commonly-used drug regimens,specific  outcomes,have similar
206,most blood people,adequate blood reduction,produce larger
207,insufficient  it,secondary  prevention,poor
208,Statins,cardiovascular  disease,effective
209,women  decrease,,seen
210,primary  statins,risk,decrease
211,benefit,,small
212,those  who,12  %,recommends
213,those HDL who,HDL risk,affect
214,events  they,all-cause  mortality,lower
215,Diabetes Type evidence,cardiovascular  risk,reduce cardiovascular
216,meta-analysis,% relative risk reduction,showed
217,Aspirin,,found
218,70  it,,recommended
219,it,,recommends
220,use,hypoxemic lung harm,cause
221,Antibiotics,disease heart disease risk,help
222,antibiotics,,suggests
223,So  use,coronary heart disease,supported
224,cardiac  rehabilitation,heart attack heart risk,reduces
225,,,been few
226,inactivity,,estimated
227,physical heart inactivity,,estimated
228,studies  yoga,beneficial  effects,suggest
229,home-based exercise programs,more exercise adherence,suggests
230,supplementation vitamin vitamins,effect,beneficial
231,Mineral  supplements,,found
232,Niacin,,exception
233,Magnesium supplementation,high blood pressure,lowers high
234,pointes  who,,recommended
235,,omega-3 fatty acid supplementation,is
236,Management Cardiovascular disease,,treatable
237,therefore influenza vaccination,chance,make
238,Proper CVD management,mind mortality cost-effectiveness,necessitates
239,MI  strategies,aspirin,compared
240,680  t-PA,,$
241,when blood pressure targets,single QALY costs,showed single
242,Epidemiology Cardiovascular diseases,,cause
243,30  %,,attributed
244,Death,,caused
245,23 million 23 people,,estimated
246,60  %,,estimated
247,This,,secondary
248,Organizations,Heart Federation World Heart awareness,working
249,cardiovascular  disease,,is
250,causes,,remain active
251,Recent  areas,inflammation  potential,include
252,MedicineNet Slides Disease MedicineNet descriptions,light-chain AL amyloidosis,form
253,antibody-producing  cells,abnormal protein fibers,caused
254,together amyloid which,serious  damage,come
255,light  chains,,referred to
256,Signs,wide AL range,affect
257,kidneys,,organ
258,Symptoms,fluid kidney retention,include
259,kidneys AL amyloidosis,heart,affect
260,which,AL patients heart failure,include
261,Other  symptoms,stroke,include
262,Causes AL amyloidosis,,caused
263,disorder  it,,produced
264,10  %,overt AL amyloidosis,develop overt
265,chains  which,amyloid  disease,tested
266,However  diagnosis,sample,requires
267,Treatment,effective  treatment,transplants
268,many  patients,too  approach,weak
269,Other  treatments,application,involve
270,cell transplantation stem cell combination,,found effective
271,Prognosis Median Prognosis survival,,months
272,new  cases,,disease
273,5 AL %,,male
274,External deposition disease Choosing,External deposition disease links,See
275,campaign,second  opinions,identifies
276,ABIM Foundation,ten specialty overuse,asks medical
277,medical specialty societies,it,publicizes
278,some,praise,garnered
279,It,evaluation,include
280,they,time,said
281,2002 ABIM Foundation,Medical  professionalism,published Medical
282,when health resources,health equity,states
283,things specialty they,field  it,recommended
284,which  it,creation,tested
285,Alliance project health field,health spending US health year,predicted
286,US$ 5.8 billion,rather brand name statin,recommendation
287,Choosing,Wisely  creation,created
288,members  field,members  which,identify
289,recommendation,program  support,have
290,tests  that,commonly  overuses,developed
291,community groups community they,community groups community information,shares
292,societies,grants,gave
293,,552  range,were
294,supporting  footnotes,,searched
295,Wisely  physicians,patient benefits patient outcomes,include
296,,effects,Consider
297,,,services
298,cases  this,patient outcomes,fails
299,This,also  patients,subjects
